"","predictors","vif_value"
"1","X2014_EBITDA_nm5_",4.37000092269657
"2","X2014_EBITIE_nm5_",4.2473754872277
"3","X2014_COGSSALES_nm5_",4.24555648476229
"4","X2014_NET_nm5_",4.13007814422166
"5","X2014_AL_nm5_",3.22942822740436
"6","X2014_ROI_nm5_",2.93459736453789
"7","X2014_F05200_nm5_",2.21077691259429
"8","X2014_IOL_nm5_",2.20189185302891
"9","X2014_WCTA_nm5_",2.04502766917059
"10","X2014_V16140_nm5_",1.84421356914362
"11","X2014_CNS_nm5_",1.77700535135372
"12","X2014_F12000_nm5_",1.75056266864698
"13","X2014_F16200_nm5_",1.38775084503183
"14","X2014_EBITS_nm5_",1.33236034617153
"15","X2014_DEB_nm5_",1.22459241679083
"16","X2014_ROE_nm5_",1.17934636908061
"17","X2014_TOD_nm5_",1.17434322998712
"18","X2014_EBITTA_nm5_",1.05932957033627
"19","X2014_F01000_nm5_",1.05642755841173
"20","X2014_ROS_nm5_",0.908452112101477
"21","X2014_LEV_nm5_",0.860434979411754
"22","X2014_NITA_nm5_",0.860362161820044
"23","X2014_CARCL_nm5_",0.701939925845947
"24","X2014_APS_nm5_",0.662842543185149
"25","X2014_ARL_nm5_",0.475323884053665
"26","X2014_STA_nm5_",0.367838761152305
"27","X2014_TC_nm5_",0.348505572110941
"28","X2014_ROL_nm5_",0.227638009330984
"29","X2014_ER_nm5_",0.22354174608508
"30","X2014_EC_nm5_",0.144806920270759
"31","X2014_TATL_nm5_",0.138073672007571
"32","X2014_GL_nm5_",0.0123254207993598
"33","X2014_CFS_nm5_",0.000502763922650467
