predictors,vif_value
X2014_AL_nm1_,1.825314356
X2014_AL_nm11_,1.921549479
X2014_AL_nm12_,1.825314356
X2014_AL_nm2_,0.039773108
X2014_AL_nm3_,3.239155926
X2014_AL_nm33_,3.239155926
X2014_AL_nm4_,3.239155926
X2014_AL_nm5_,3.229428227
X2014_AL_nm6_,1.825314356
X2014_AL_nm7_,3.239155926
X2014_AL_nm8_,3.238980014
X2014_AL_nm99_,0.056803995
X2014_APS_nm1_,2.677821095
X2014_APS_nm11_,2.752534941
X2014_APS_nm12_,2.677821095
X2014_APS_nm2_,4.717417392
X2014_APS_nm3_,0.668496367
X2014_APS_nm33_,0.668496367
X2014_APS_nm4_,0.668496367
X2014_APS_nm5_,0.662842543
X2014_APS_nm6_,2.677821095
X2014_APS_nm7_,0.668496367
X2014_APS_nm8_,0.668490669
X2014_APS_nm99_,3.859813153
X2014_ARL_nm1_,1.452680875
X2014_ARL_nm10_,0.000692756
X2014_ARL_nm11_,1.375712804
X2014_ARL_nm12_,1.452680875
X2014_ARL_nm2_,0.777424027
X2014_ARL_nm3_,1.31971499
X2014_ARL_nm33_,1.31971499
X2014_ARL_nm4_,1.31971499
X2014_ARL_nm5_,0.475323884
X2014_ARL_nm6_,1.452680875
X2014_ARL_nm7_,1.31971499
X2014_ARL_nm8_,0.215727408
X2014_ARL_nm9_,0.000692756
X2014_ARL_nm99_,0.87069548
X2014_CARCL_nm1_,1.197017308
X2014_CARCL_nm10_,1.351432347
X2014_CARCL_nm11_,1.207131574
X2014_CARCL_nm12_,1.197017308
X2014_CARCL_nm2_,0.835607626
X2014_CARCL_nm3_,0.705372699
X2014_CARCL_nm33_,0.705372699
X2014_CARCL_nm4_,0.705372699
X2014_CARCL_nm5_,0.701939926
X2014_CARCL_nm6_,1.197017308
X2014_CARCL_nm7_,0.705372699
X2014_CARCL_nm8_,0.70473531
X2014_CARCL_nm9_,1.351432347
X2014_CARCL_nm99_,1.616246283
X2014_CFD_nm10_,2.555030086
X2014_CFD_nm2_,0.145870089
X2014_CFD_nm9_,2.555030086
X2014_CFD_nm99_,0.199515208
X2014_CFS_nm1_,1.210187421
X2014_CFS_nm11_,2.595729858
X2014_CFS_nm12_,1.210187421
X2014_CFS_nm3_,0.001961256
X2014_CFS_nm33_,0.001961256
X2014_CFS_nm4_,0.001961256
X2014_CFS_nm5_,0.000502764
X2014_CFS_nm6_,1.210187421
X2014_CFS_nm7_,0.001961256
X2014_CFS_nm8_,0.001961036
X2014_CNS_nm2_,1.766377565
X2014_CNS_nm3_,1.832078037
X2014_CNS_nm33_,1.832078037
X2014_CNS_nm4_,1.832078037
X2014_CNS_nm5_,1.777005351
X2014_CNS_nm7_,1.832078037
X2014_CNS_nm8_,1.831684621
X2014_CNS_nm99_,1.692478163
X2014_COGSSALES_nm1_,1.651244388
X2014_COGSSALES_nm10_,0.217861599
X2014_COGSSALES_nm11_,1.28874222
X2014_COGSSALES_nm12_,1.651244388
X2014_COGSSALES_nm2_,3.819719093
X2014_COGSSALES_nm5_,4.245556485
X2014_COGSSALES_nm6_,1.651244388
X2014_COGSSALES_nm8_,0.890191688
X2014_COGSSALES_nm9_,0.217861599
X2014_COGSSALES_nm99_,3.820766499
X2014_CTA_nm10_,2.083010871
X2014_CTA_nm11_,3.914921396
X2014_CTA_nm9_,2.083010871
X2014_DEB_nm1_,1.272225082
X2014_DEB_nm10_,1.217788727
X2014_DEB_nm11_,1.270597439
X2014_DEB_nm12_,1.272225082
X2014_DEB_nm2_,0.417324961
X2014_DEB_nm3_,4.665362975
X2014_DEB_nm33_,4.665362975
X2014_DEB_nm4_,4.665362975
X2014_DEB_nm5_,1.224592417
X2014_DEB_nm6_,1.272225082
X2014_DEB_nm7_,4.665362975
X2014_DEB_nm8_,1.151015052
X2014_DEB_nm9_,1.217788727
X2014_DEB_nm99_,0.411047534
X2014_DTA.TAY_nm10_,3.317466904
X2014_DTA.TAY_nm2_,4.389119848
X2014_DTA.TAY_nm9_,3.317466904
X2014_DTA.TAY_nm99_,3.146143387
X2014_DTA_nm99_,4.676361564
X2014_EBITDA_nm1_,1.181646443
X2014_EBITDA_nm10_,0.012942497
X2014_EBITDA_nm11_,1.027508233
X2014_EBITDA_nm12_,1.181646443
X2014_EBITDA_nm2_,0.030278199
X2014_EBITDA_nm5_,4.370000923
X2014_EBITDA_nm6_,1.181646443
X2014_EBITDA_nm8_,4.25985569
X2014_EBITDA_nm9_,0.012942497
X2014_EBITDA_nm99_,0.011136133
X2014_EBITDAIE_nm1_,2.084823884
X2014_EBITDAIE_nm10_,0.011722115
X2014_EBITDAIE_nm11_,1.638189855
X2014_EBITDAIE_nm12_,2.084823884
X2014_EBITDAIE_nm2_,0.245488582
X2014_EBITDAIE_nm6_,2.084823884
X2014_EBITDAIE_nm9_,0.011722115
X2014_EBITDAIE_nm99_,0.230245642
X2014_EBITDATA_nm10_,0.059380354
X2014_EBITDATA_nm9_,0.059380354
X2014_EBITIE_nm1_,1.163210407
X2014_EBITIE_nm10_,0.31945097
X2014_EBITIE_nm11_,0.991649812
X2014_EBITIE_nm12_,1.163210407
X2014_EBITIE_nm2_,0.033489525
X2014_EBITIE_nm3_,4.109258603
X2014_EBITIE_nm33_,4.109258603
X2014_EBITIE_nm4_,4.109258603
X2014_EBITIE_nm5_,4.247375487
X2014_EBITIE_nm6_,1.163210407
X2014_EBITIE_nm7_,4.109258603
X2014_EBITIE_nm8_,4.109171166
X2014_EBITIE_nm9_,0.31945097
X2014_EBITIE_nm99_,0.110470361
X2014_EBITS_nm1_,1.784315115
X2014_EBITS_nm10_,0.4890322
X2014_EBITS_nm11_,1.564636324
X2014_EBITS_nm12_,1.784315115
X2014_EBITS_nm2_,4.616133533
X2014_EBITS_nm3_,1.320270465
X2014_EBITS_nm33_,1.320270465
X2014_EBITS_nm4_,1.320270465
X2014_EBITS_nm5_,1.332360346
X2014_EBITS_nm6_,1.784315115
X2014_EBITS_nm7_,1.320270465
X2014_EBITS_nm8_,1.319930447
X2014_EBITS_nm9_,0.4890322
X2014_EBITS_nm99_,3.585366918
X2014_EBITTA_nm1_,2.022696977
X2014_EBITTA_nm10_,0.031113471
X2014_EBITTA_nm11_,1.963838392
X2014_EBITTA_nm12_,2.022696977
X2014_EBITTA_nm3_,1.521883922
X2014_EBITTA_nm33_,1.521883922
X2014_EBITTA_nm4_,1.521883922
X2014_EBITTA_nm5_,1.05932957
X2014_EBITTA_nm6_,2.022696977
X2014_EBITTA_nm7_,1.521883922
X2014_EBITTA_nm8_,0.042232467
X2014_EBITTA_nm9_,0.031113471
X2014_EC_nm1_,1.105404178
X2014_EC_nm10_,0.002627986
X2014_EC_nm11_,0.069603921
X2014_EC_nm12_,1.105404178
X2014_EC_nm2_,0.095904619
X2014_EC_nm3_,0.120288058
X2014_EC_nm33_,0.120288058
X2014_EC_nm4_,0.120288058
X2014_EC_nm5_,0.14480692
X2014_EC_nm6_,1.105404178
X2014_EC_nm7_,0.120288058
X2014_EC_nm8_,0.120272136
