predictor,vif_value
X2014_F10100_nm11_,35.40862637
X2014_F10200_nm11_,4089.152014
X2014_F10300_nm11_,238.6329309
X2014_F10400_nm11_,95.65795711
X2014_F10500_nm11_,464426.5607
X2014_F11100_nm11_,35.28476403
X2014_F11200_nm11_,145.8832578
X2014_F12000_nm11_,1.750562669
X2014_F15100_nm11_,531114.0157
X2014_F15200_nm11_,61.76556337
X2014_F15300_nm11_,5.581128488
X2014_F15400_nm11_,152.00716
X2014_F16100_nm11_,43.68931617
X2014_F16200_nm11_,1.387750845
X2014_F16300_nm11_,166.9783086
X2014_F17000_nm11_,8.320459907
X2014_F01000_nm11_,1.056427558
X2014_F02100_nm11_,16.91032575
X2014_F02200_nm11_,654.7715864
X2014_F02300_nm11_,4891.320365
X2014_F02400_nm11_,13.41080044
X2014_F03100_nm11_,494.5247018
X2014_F03200_nm11_,1260.846346
X2014_F03300_nm11_,17.31546529
X2014_F03400_nm11_,93.81853246
X2014_F04000_nm11_,5.746496031
X2014_F05100_nm11_,4983.292767
X2014_F05200_nm11_,2.210776913
X2014_F05300_nm11_,51.7304168
X2014_F05400_nm11_,2882.313839
X2014_F05510_nm11_,5642.189147
X2014_F05520_nm11_,1729.083594
X2014_F05600_nm11_,1059.278355
X2014_F06000_nm11_,26.7459612
X2014_F07001_nm11_,49435.85941
X2014_F07002_nm11_,96653.73924
X2014_F08000_nm11_,822.3442867
X2014_V16140_nm11_,1.844213569
X2014_TA_nm11_,66010.1959
X2014_TL_nm11_,129275.8958
X2014_TR_nm11_,12.09626554
X2014_TC_nm11_,2.079888778
X2014_WCTA_nm11_,1.948332438
X2014_RETA_nm11_,4.631467117
X2014_EBIT_nm11_,416.8469908
X2014_LEV_nm11_,5.201351268
X2014_STA_nm11_,1.78741163
X2014_EBITTA_nm11_,1.963838392
X2014_COGSSALES_nm11_,1.28874222
X2014_ROI_nm11_,1.888409407
X2014_EBITDA_nm11_,1.027508233
X2014_NET_nm11_,3.047660806
X2014_ROS_nm11_,1.144288226
X2014_ROE_nm11_,2.030761076
X2014_ROL_nm11_,1.05580104
X2014_CAPAS_nm11_,20.20631785
X2014_EC_nm11_,0.069603921
X2014_ER_nm11_,0.71907886
X2014_GL_nm11_,2.65713396
X2014_AL_nm11_,1.921549479
X2014_DEB_nm11_,1.270597439
X2014_TOD_nm11_,5.726040799
X2014_NT_nm11_,476.2048019
X2014_STDE_nm11_,18.71002971
X2014_CTA_nm11_,3.914921396
X2014_CNS_nm11_,6.327951264
X2014_ITA_nm11_,21.44077837
X2014_EBITS_nm11_,1.564636324
X2014_EBITDATA_nm11_,6.500797001
X2014_NITA_nm11_,2.176403464
X2014_EBITDAIE_nm11_,1.638189855
X2014_EBITIE_nm11_,0.991649812
X2014_APS_nm11_,2.752534941
X2014_ARL_nm11_,1.375712804
X2014_IOL_nm11_,2.917567818
X2014_TATL_nm11_,1.220426235
X2014_CFS_nm11_,2.595729858
X2014_CARCL_nm11_,1.207131574
X2014_CFD_nm11_,34.47428553
X2014_WCEBITDA_nm11_,4406.975789
X2014_DTA_nm11_,328.3222323
X2014_lg_nm11_,94.83164758
X2014_LD.LDE_nm11_,222564.5044
X2014_DTA.TAY_nm11_,32.94058705
