"","x"
"1","X2014_EBITTA_ln"
"2","X2014_CFD_nm"
"3","X2014_ER_nm"
"4","X2014_F15100_ln"
"5","X2014_EBITDA_ln"
"6","X2014_F10300_ln"
"7","X2014_F10200_ln"
"8","X2014_EBITIE_ln"
"9","X2014_F07001_nm"
"10","X2014_COGSSALES_ln"
"11","X2014_LEV_nm"
"12","X2014_F12000"
"13","X2014_CFS_nm"
"14","X2014_F16200"
"15","X2014_EC_ln"
"16","X2014_F01000"
"17","X2014_IOL"
"18","X2014_EBITIE_nm"
"19","X2014_WCTA"
"20","X2014_TC_nm"
"21","X2014_EBITS_nm"
"22","X2014_NT_nm"
"23","X2014_LD.LDE"
"24","X2014_EBITS"
"25","X2014_RETA_nm"
"26","X2014_TOD_nm"
"27","X2014_F08000_nm"
"28","X2014_TATL"
"29","X2014_F15300_nm"
"30","X2014_EBITDATA_nm"
"31","X2014_ROS"
"32","X2014_ITA_nm"
"33","X2014_V16140_nm"
"34","X2014_DEB_nm"
"35","X2014_ROI"
"36","X2014_EBITTA_nm"
"37","X2014_NITA"
"38","X2014_F05520_nm"
"39","X2014_CTA_nm"
"40","X2014_CNS_nm"
"41","X2014_STA_nm"
"42","X2014_F05510_ln"
"43","X2014_F16300_nm"
"44","X2014_F05200_nm"
"45","X2014_F05400_nm"
"46","X2014_F05300_nm"
"47","X2014_F05510_nm"
"48","X2014_F03400_ln"
"49","X2014_F05600_ln"
"50","X2014_F12000_nm"
"51","X2014_F05100_nm"
"52","X2014_RETA"
"53","X2014_F03100_nm"
"54","X2014_CAPAS"
"55","X2014_F03200_nm"
"56","X2014_F04000_nm"
"57","X2014_F03300_nm"
"58","X2014_F03400_nm"
"59","X2014_F02400_nm"
"60","X2014_F05100_ln"
"61","X2014_F07001_ln"
"62","X2014_F10200_nm"
"63","X2014_STDE_nm"
"64","X2014_F05600_nm"
"65","X2014_F06000_nm"
"66","X2014_F10500_nm"
"67","X2014_F11200_nm"
"68","X2014_F15200_nm"
"69","X2014_F10100_nm"
"70","X2014_F10400_nm"
"71","X2014_F11100_nm"
"72","X2014_F10300_nm"
"73","X2014_F15100_nm"
"74","X2014_EBIT_nm"
"75","X2014_F02100_nm"
"76","X2014_F02300_nm"
"77","X2014_F15400_nm"
"78","X2014_F02200_nm"
"79","X2014_F16100_nm"
"80","X2014_F01000_nm"
"81","X2014_F17000_nm"
"82","X2014_F16200_nm"
"83","X2014_V16140_ln"
"84","X2014_WCTA_nm"
"85","X2014_AL_nm"
"86","X2014_GL_nm"
"87","X2014_ITA"
"88","X2014_NITA_nm"
"89","X2014_CNS"
"90","X2014_COGSSALES"
"91","X2014_CTA"
"92","X2014_ROL"
"93","X2014_ROI_nm"
"94","X2014_ER"
"95","X2014_EBITDA_nm"
"96","X2014_NET_nm"
"97","X2014_COGSSALES_nm"
"98","X2014_EC"
