"","predictors","vif_value"
"1","X2014_NT_nm",4.75060834622696
"2","X2014_STA_nm",3.8989401342059
"3","X2014_TATL_nm",2.89406094648697
"4","X2014_LD.LDE_nm",2.76209057126133
"5","X2014_F11100_nm",2.76209057126115
"6","X2014_ARL_nm",2.67779985327453
"7","X2014_WCEBITDA_nm",2.4185163058455
"8","X2014_F10300_nm",2.4185163058455
"9","X2014_F05200_nm",2.20988272937529
"10","X2014_EBITDAIE_nm",2.12077556969955
"11","X2014_ROS_nm",2.0949821474065
"12","X2014_EBITIE_nm",2.08460263960993
"13","X2014_ROL_nm",2.05775171489994
"14","X2014_COGSSALES_nm",2.02268778357701
"15","X2014_RETA_nm",1.94769782522324
"16","X2014_EBITDA_nm",1.92530074710676
"17","X2014_V16140_nm",1.84398603227834
"18","X2014_DEB_nm",1.82515075029336
"19","X2014_EBITDATA_nm",1.78385188082426
"20","X2014_EBITTA_nm",1.72680258721128
"21","X2014_ROI_nm",1.64659199817026
"22","X2014_AL_nm",1.6313634387374
"23","X2014_IOL_nm",1.45224851351037
"24","X2014_F16200_nm",1.3876990127223
"25","X2014_TOD_nm",1.27210825186611
"26","X2014_WCTA_nm",1.2545493155439
"27","X2014_CARCL_nm",1.21018272905344
"28","X2014_CFD_nm",1.19654720857348
"29","X2014_NET_nm",1.18147213512289
"30","X2014_CFS_nm",1.17174020056701
"31","X2014_APS_nm",1.16316848407135
"32","X2014_ROE_nm",1.1096068506473
"33","X2014_ER_nm",1.10540250619895
"34","X2014_CAPAS_nm",1.06285960373362
"35","X2014_F01000_nm",1.0561129843524
"36","X2014_GL_nm",1.05361696875903
"37","X2014_F12000_nm",1.05132950455845
