"","vif_value"
"X2014_F10300_nm",2.4185163058455
"X2014_F10400_nm",7.78138421719492
"X2014_F10500_nm",217.728975686468
"X2014_F11100_nm",2.76209057126115
"X2014_F11200_nm",11.1858435247612
"X2014_F12000_nm",1.05132950455845
"X2014_F15100_nm",530976.004027976
"X2014_F15200_nm",61.7494613798581
"X2014_F15300_nm",18.4720065585906
"X2014_F15400_nm",151.858871995104
"X2014_F16100_nm",43.6877180747436
"X2014_F16200_nm",1.3876990127223
"X2014_F16300_nm",166.978308256828
"X2014_F17000_nm",8.31907958888363
"X2014_F01000_nm",1.0561129843524
"X2014_F02100_nm",16.8795989987307
"X2014_F02200_nm",654.770028625486
"X2014_F02300_nm",4891.31510502121
"X2014_F02400_nm",13.3496428286532
"X2014_F03100_nm",494.524214448956
"X2014_F03200_nm",1260.77094101313
"X2014_F03300_nm",17.3123514659668
"X2014_F03400_nm",93.8178912962972
"X2014_F04000_nm",5.73968102851704
"X2014_F05100_nm",4983.13690086747
"X2014_F05200_nm",2.20988272937529
"X2014_F05300_nm",51.729914364454
"X2014_F05400_nm",2882.07953819395
"X2014_F05510_nm",5641.9753499689
"X2014_F05520_nm",1728.92643163858
"X2014_F05600_nm",1059.14370322453
"X2014_F06000_nm",26.7383954628348
"X2014_F07001_nm",49426.7698785542
"X2014_F07002_nm",96631.543312203
"X2014_F08000_nm",822.216715811303
"X2014_V16140_nm",1.84398603227834
"X2014_TA_nm",66007.1226827048
"X2014_TL_nm",129247.079768964
"X2014_TR_nm",522610.621623633
"X2014_TC_nm",12.5474460348534
"X2014_WCTA_nm",1.2545493155439
"X2014_RETA_nm",1.94769782522324
"X2014_EBIT_nm",7.82793289998568
"X2014_LEV_nm",465.832888819724
"X2014_STA_nm",3.8989401342059
"X2014_EBITTA_nm",1.72680258721128
"X2014_COGSSALES_nm",2.02268778357701
"X2014_ROI_nm",1.64659199817026
"X2014_EBITDA_nm",1.92530074710676
"X2014_NET_nm",1.18147213512289
"X2014_ROS_nm",2.0949821474065
"X2014_ROE_nm",1.1096068506473
"X2014_ROL_nm",2.05775171489994
"X2014_CAPAS_nm",1.06285960373362
"X2014_EC_nm",20.1972073748038
"X2014_ER_nm",1.10540250619895
"X2014_GL_nm",1.05361696875903
"X2014_AL_nm",1.6313634387374
"X2014_DEB_nm",1.82515075029336
"X2014_TOD_nm",1.27210825186611
"X2014_NT_nm",4.75060834622696
"X2014_STDE_nm",478.475492776486
"X2014_CTA_nm",19.0285824557885
"X2014_CNS_nm",5.16137068208021
"X2014_ITA_nm",5.46979480698292
"X2014_EBITS_nm",22.0219243169716
"X2014_EBITDATA_nm",1.78385188082426
"X2014_NITA_nm",6.7036506880997
"X2014_EBITDAIE_nm",2.12077556969955
"X2014_EBITIE_nm",2.08460263960993
"X2014_APS_nm",1.16316848407135
"X2014_ARL_nm",2.67779985327453
"X2014_IOL_nm",1.45224851351037
"X2014_TATL_nm",2.89406094648697
"X2014_CFS_nm",1.17174020056701
"X2014_CARCL_nm",1.21018272905344
"X2014_CFD_nm",1.19654720857348
"X2014_WCEBITDA_nm",2.4185163058455
"X2014_DTA_nm",7.78138421719513
"X2014_lg_nm",217.728975686468
"X2014_LD.LDE_nm",2.76209057126133
"X2014_DTA.TAY_nm",11.1858435247615
